airline_sentiment,text,geographic_location,ethnicity,age,device
positive,@SouthwestAir I continue to be amazed by the amazing customer service.  Thank you SWA!,"Colorado Springs, CO",Caucasian,31,laptop
neutral,@SouthwestAir hilarious flight attendants on Vegas to Detroit tonight http://t.co/nw7vx7DGMF,"Austin, TX",Caucasian,64,tablet
negative,@AmericanAir Are you people cruel or just stupid? Why are you posting my personal email on the damn Internet? Have u lost your mind?!,"Albuquerque, NM",Hispanic,64,mobile
negative,@AmericanAir narrowly made standby...lots of snags this trip!,"Cincinnati, OH",Asian,49,tablet
positive,@SouthwestAir Thank you!  #thankful #feelingtheluv,"Sacramento, CA",Caucasian,34,mobile
negative,@AmericanAir Took a flight yesterday fron TPA-DFW-AUS. Bag went to IAH. Today bag went to IAH-DFW and then back to IAH. Still no bag!,"Atlanta, GA",Asian,63,tablet
negative,@AmericanAir now down to only one agent helping a stagnant line of almost 100 customers. Super.,"Aurora, CO",Caucasian,36,tablet
neutral,@SouthwestAir do you have a pair of tickets to the @Imaginedragons show in Atlanta?! I'd love to go! #DestinationDragons,"Milwaukee, WI",African American,36,laptop
negative,"@SouthwestAir, got ""duped"" w/ a connection on 1st flight (sneaky), now u won't give me a seat on an earlier flight w/ availability. Shameful","Wichita, KS",Caucasian,18,tablet
negative,@SouthwestAir is really gonna hear my mouth about this bag situation.,"Memphis, TN",African American,60,mobile
negative,@virginamerica What is your phone number. I can't find who to call about a flight reservation.,"Omaha, NE",African American,49,laptop
positive,@USAirways Thanks. It would be better from the gate agent at C14 in Charlotte boarding flight 1791.,"Nashville, TN",Hispanic,33,laptop
positive,@JetBlue its always a pleasure ☺️,"Newark, NJ",Asian,22,tablet
negative,@USAirways  #USAirways disappoints AGAIN! #Cancelled Flighted flights #Missed appointments #Promised refund is a lie,"Seattle, WA",African American,24,mobile
negative,"@united can't get anyone to deal with me in person. Cowardly customer service, I can't be looked in the eyes by anyone.","Albuquerque, NM",African American,50,laptop
negative,"@AmericanAir is there something wrong with the website? no matter what flight I select, it says it's no longer available.","Indianapolis, IN",Hispanic,20,tablet
negative,"@SouthwestAir After multiple attempts, I was finally able to submit them Late Flight last night.","Cincinnati, OH",African American,56,mobile
negative,@SouthwestAir broke the stroller my wife and baby gate checked. They told her it's not their problem. Calling the A List Preferred line now.,"Buffalo, NY",African American,22,mobile
neutral,"@JetBlue unfortunately no, but hoping I can catch one sometime in the near future!","Tulsa, OK",Hispanic,59,laptop
negative,@JetBlue You mean take more of my time to write you a physical letter because the fraud department doesn't have email or telephones. Right?,"Atlanta, GA",African American,24,tablet
negative,@AmericanAir Trip cut 7 hrs short due to flight change/massive layovers/ no peanuts or crackers/ asked for H2O and received about 2oz.,"Chandler, AZ",African American,44,tablet
negative,@united Can you please follow for a Dm on a missing bag?,"Norfolk, VA",Hispanic,51,tablet
negative,@USAirways please secure the 'footrest' shelf' in business class on A330 airplanes!!! http://t.co/ZL4bVEXmcJ,"Detroit, MI",African American,56,mobile
positive,"@AmericanAir @maryella_green just received it, actually. Thank you!!!!!!!!!","Atlanta, GA",African American,49,laptop
negative,@JetBlue @Amagrino will you cover the cost of my car service waiting time?!,"Toledo, OH",Hispanic,52,mobile
negative,@AmericanAir Now you've Cancelled Flightled my flight. First a priority ticket bumped and now this. You're losing customers. People are furious.,"Phoenix, AZ",African American,56,laptop
negative,.@AmericanAir can you connect me to a person without having to wait 2+ hours on hold? I still haven't been able to resolve the problem.,"Fresno, CA",Asian,18,laptop
negative,@USAirways They're all reservations numbers and none are in Hungary. And my phone not working here. You make it too difficult.,"Fresno, CA",African American,42,tablet
neutral,@SouthwestAir we checked in right at 24hr mark. Boarding C group with kids ages 6&amp;8 dnt want to be split. What sld we do?,"Tucson, AZ",Hispanic,31,laptop
negative,@JetBlue I'm on flight and no booze being served 30 min in... What gives? #lostrevenue #angryandsober #bachelorpartymishap,"Lincoln, NE",Hispanic,24,laptop
negative,"@AmericanAir @sweetmel If weather is bad, wouldn't your folks try extra hard to communicate...or load bags onto flight 1320...or...anything?","Toledo, OH",Native American,36,mobile
negative,@AmericanAir 4369. about 4 flights all using same gate w/buses to the planes.  Awful boarding process. Hour and a half Late Flight,"San Francisco, CA",African American,21,laptop
positive,@united the staff was rather efficient and got us solutions just freaked me out a little being in limbo in the air.,"New Orleans, LA",Caucasian,60,mobile
negative,"@united flight from vegas to houston Cancelled Flighted this morning ""due to operation"" what does this mean!???? Thank god I woke up early today!","Austin, TX",African American,27,laptop
negative,"@USAirways #PHL why does it take an hour to offload bags, especially after taking 30+ min to get a jetway to get off plane after landing?","Baltimore, MD",Caucasian,48,tablet
negative,"@AmericanAir I'd like to apologize to the gate agent for flight AA76, I was not aware that zone 1 was after the nine other precious gems.","Toledo, OH",Hispanic,51,laptop
negative,"@AmericanAir 4hrs Late Flightr i get a call back, and immediately disconnected","Chandler, AZ",African American,20,laptop
negative,@USAirways won't waive $200 fee due to #neptune. Can't use credit w/o paying fee. Couldnt get to destination to use their tic #waivethefee,"Nashville, TN",Caucasian,26,mobile
negative,"Is it insulting that @USAirways @AmericanAir offer a ""non required $50 voucher as a goodwill offering..At least my bag can fly round trip","Madison, WI",African American,44,tablet
negative,"@USAirways I can't even use my return flight home because the change fees you charge are too expensive, forcing me to purchase a new ticket.","Milwaukee, WI",Native American,55,laptop
negative,"@united I'm rebooked now, but the line was 300 people deep.","Mesa, AZ",African American,34,tablet
negative,@USAirways cust serv reps who are unable to change reservations in your system Check in unaware of Cancelled Flights that I got word on night before,"Orlando, FL",Asian,56,mobile
negative,"@united just give up.  Your service is terrible.  If I wasn't forced to use United on certain routes, I never would.","Fort Worth, TX",African American,33,mobile
negative,@SouthwestAir can I get any kind of update on the delayed flight from Boston to Houston at 7:30? Really need to be back home tonight!,"Orlando, FL",Caucasian,45,mobile
neutral,"@SouthwestAir I was under the impression when there is an 8 hour delay in your flight because of equipment failure, compensation is offered?","Winston-Salem, NC",African American,36,laptop
neutral,"@SouthwestAir Looks like 'On February 19, 2015, we will open our schedule for sale through October 30, 2015' - know what time that will be?","Tulsa, OK",Asian,51,laptop
negative,"@AmericanAir that would be appreciated. Just please don't send me to the same page with long form &amp; limited characters.
Direct email?","Oakland, CA",Caucasian,58,tablet
neutral,@USAirways do you have an email??,"Winston-Salem, NC",African American,43,mobile
negative,@united diverted and missed our connecting flight. Was just told that my bag is on it's way to MSY. If you only had people that cared,"New York, NY",Asian,51,tablet
negative,@united need assistance. Line is out the door and travelling with 3 kids.,"Indianapolis, IN",African American,33,mobile
negative,"@united 100% I will put together a very serious email, with all the issues that arose on our vacation due to your staff I will post it here","Buffalo, NY",Caucasian,43,laptop
negative,"@AmericanAir  upon entering plane to 2 @USAirways stewardesses: ""can I have some water?"" ""no we don't do that. please take your seat""","Milwaukee, WI",African American,56,tablet
negative,"@JetBlue the amount of money I spent on hotels for a WEEK bc of flight Cancelled Flightlation, another flight doesn't make up for the money lost.","San Antonio, TX",African American,36,laptop
negative,@USAirways Flight 830 CLT to Phl. I was 1st on list.Someone else got spot. Rude employee in coach. Wouldt give ID. Said he was cute red head,"Plano, TX",Asian,49,tablet
neutral,@AmericanAir thanks. Bummer. Poor planning on my part. I assume the card in Passbook won't work either?,"San Jose, CA",Hispanic,33,laptop
negative,@USAirways still crickets from customer service.,"Riverside, CA",Native American,56,mobile
negative,"@united as a 1k, I'm always hoping for improvement.","Laredo, TX",Hispanic,24,tablet
negative,@AmericanAir this merger with @USAirways @usairwis a cluster of inefficiency and misinformation.  When is it going to be done?,"Winston-Salem, NC",African American,15,laptop
positive,@SouthwestAir much respect!,"Laredo, TX",Caucasian,34,laptop
positive,@SouthwestAir really easy for locals to get down to the strip. book.,"San Francisco, CA",African American,33,laptop
negative,@USAirways Charlotte Staff needs prayer....disappointed in response to mishaps ......lotttttttt of pissed off people here!!!!,"Baltimore, MD",Hispanic,26,tablet
negative,"@SouthwestAir, on #unscheduled aircraft change, please have a better system in place, not worth the paid upgrade. #REFUND","Los Angeles, CA",Caucasian,33,mobile
negative,@united From the air: Another missed cnxn 2day. ATC went on strike in Belize this AM. Now family &amp; I miss cnxn in EWR. Please see my DMs.,"Arlington, TX",Hispanic,39,mobile
negative,@USAirways thanks for being so bad you make a two day train trip look appealing!!,"Kansas City, MO",Hispanic,25,tablet
negative,@united this is getting ridiculous. Now we're missing our connection.,"Lincoln, NE",Hispanic,15,mobile
negative,@united You really should clean the food and coffee stains off of the area around the seats when new passengers come aboard. Gross!,"San Antonio, TX",Caucasian,59,tablet
negative,@united Missing flight attendant = Delayed Flight. Prime example how 1 person impacts 100's of people. HNL -&gt; IAH (UA252) #wastedtime,"Fort Worth, TX",Hispanic,36,tablet
negative,"@USAirways @AmericanAir call the number listed? sure! by next Friday, I should get a real live person on the line http://t.co/8TJUuM22dD","Fort Worth, TX",Hispanic,59,laptop
negative,@AmericanAir change fee = same price of new ticket... Not logical,"Orlando, FL",Hispanic,48,mobile
neutral,Stop this madness RT @JetBlue: Our fleet's on fleek. http://t.co/7x9uSbj2FV,"El Paso, TX",Asian,43,tablet
positive,"@united ok, have sent u info via DM. I appreciate your help and consideration. 😊","Minneapolis, MN",Hispanic,55,mobile
negative,@SouthwestAir Service rep didn't say I was dumb just had the tone of voice like I should have known about it.,"Detroit, MI",Caucasian,35,tablet
negative,@usairways im trying to get my dads wheelchair and no one is answering at Dulles.we have tried to call back on.multiple times,"Lexington, KY",African American,64,tablet
negative,@usairways I've been on hold for approaching 2 hrs for an issue when I changed my ticket online. Frustrating.,"Corpus Christi, TX",Caucasian,36,mobile
positive,@united thank you,"Indianapolis, IN",African American,15,laptop
positive,@united thanks for the effort. I can get the earliest. Though I will make a complaint for a refund as I am losing one business day tomorrow,"Henderson, NV",African American,49,laptop
negative,"@USAirways lack of communication with other offices, the customer, &amp; yall never update ur systems. U guys are 2 established 4 this mess","Stockton, CA",African American,36,mobile
negative,@JetBlue as much i have paid in fees. Plus hotel and food because of your changes i could had flown with a more reliable airline #no2jetblue,"Los Angeles, CA",Caucasian,26,laptop
neutral,"seriously, I want to work on the JetBlue social team RT @JetBlue: @vincenzolandino http://t.co/eiGaJyzcW2","Wichita, KS",Hispanic,64,mobile
negative,@SouthwestAir right? We're delayed so I'm crabby. :) Also why do you allow one family member to purchase EarlyBird check in and hold rows?,"Laredo, TX",African American,49,mobile
negative,@united you guys suck!,"Indianapolis, IN",Hispanic,36,laptop
positive,"@united Thank you but the person in Houston could only get me a flight routing through Newark, NJ and I'm going to SFO","Philadelphia, PA",African American,48,laptop
negative,@united lost bag in Huston we leave for a Bahamas cruise today from #nola and had to buy all new stuff. Customer service is non existent,"Atlanta, GA",African American,40,laptop
positive,@SouthwestAir Thx to customer service rep ALEX for his patient help in reFlight Booking Problems a Cancelled Flighted flight and getting us where we have to be tmrw!,"Lubbock, TX",Asian,39,tablet
negative,@usairways is there not a faster way to get me to Columbia Sc than making me stay in CLT over night after my delayed flight?,"Corpus Christi, TX",Asian,27,tablet
negative,@AmericanAir highly disappointed in the baggage service with this merge with @USAirways you guys have lost our 1st bag and now missing items,"Jacksonville, FL",Hispanic,24,mobile
negative,"@SouthwestAir your A-list program is a complete JOKE! Your company does not value loyal customers.Time to look for another ""go-to"" airliner","Virginia Beach, VA",Asian,20,tablet
negative,@AmericanAir I understand the need to drain the lavatory fearing freezing but why no policy on checking that before boarding? smh come on...,"St. Louis, MO",African American,15,mobile
negative,"@united and don't hope for me having a nicer flight some other time, try to do things right. You sold me those tickets with that connetion","Buffalo, NY",African American,49,mobile
positive,@SouthwestAir Thank you Thank you Thank you!!! My last attempt to win #DestinationDragons tickets was a success! I could not be happier!! :),"Santa Ana, CA",Native American,60,tablet
negative,@jetblue I hate you for this 😒 https://t.co/g4WwR6VBRQ,"Anchorage, AK",African American,64,tablet
neutral,"@AmericanAir and @CVGairport get it together, perfect combination for delays and Cancelled Flightlations","Garland, TX",Caucasian,64,tablet
negative,".@united You may ""dislike delays"" but I paid you .We had an agreement that I paid you and you got me to my destination at a certain time.","Columbus, OH",Caucasian,44,tablet
neutral,@SouthwestAir trying to get through to cust relations. Is there another # to use?,"Memphis, TN",Asian,33,mobile
neutral,@JetBlue so yesterday a flight I wanted to Chicago was on sale within my points range and today it isn't. Any way you guys can still honor,"Tulsa, OK",Hispanic,21,tablet
neutral,@united is it possible to add a Known Traveler Number to my ticket after Flight Booking Problems?,"Oakland, CA",African American,15,tablet
negative,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,"Chandler, AZ",African American,25,laptop
neutral,😐 “@JetBlue: Our fleet's on fleek. http://t.co/QavvlAXLkl”,"Colorado Springs, CO",Asian,18,laptop
positive,@SouthwestAir :( Thanks for the opportunity...,"Durham, NC",Asian,64,laptop
negative,@JetBlue disappointed with the missed connection from ROC to SLC and no reimbursement even tho friend who is a pilot said it was due to ATC,"Omaha, NE",African American,39,tablet
negative,"@JetBlue lipstick on a pig still a pig. Ur new baggage claim @ SJU is a disaster. No chairs, 20 mins+ wait for baggage. #fail","Milwaukee, WI",African American,30,laptop
negative,"@AmericanAir how did my prime, ticketed seat get switched on AA 343?! Not sure what's going on here...","Toledo, OH",African American,56,tablet
positive,“@JetBlue: Our fleet's on fleek. http://t.co/g12sn5qsqZ”- no... Yall better than this,"El Paso, TX",African American,42,mobile
positive,@JetBlue That's great! Thank you.,"Louisville, KY",Hispanic,37,tablet
negative,@AmericanAir as usual my next flight shows on time but it's suppose to leave in 5 minutes and hasn't boarded,"Tampa, FL",African American,59,tablet
neutral,@SouthwestAir The Opal Dragon book The Dragon (ALI) has woven his murdering ways from the Philippines to Australia http://t.co/c9p2ioSphM,"Boston, MA",African American,43,tablet
negative,@USAirways what happens if it isn't located,"Greensboro, NC",Caucasian,59,laptop
negative,@AmericanAir a phone call or email when you Cancelled Flight a flight would be lovely.,"Greensboro, NC",African American,64,tablet
positive,"@USAirways please thank Mellie at CAE, Tammy in baggage claim at CLT 4 #excellent customer service 2day, BUT I have a complaint.","Stockton, CA",African American,64,tablet
negative,@united this means within one week i will have filed 2 compensation complaints to your website,"Memphis, TN",Caucasian,21,mobile
positive,"@united - thanks for your help...got me what I need, but its an issue with @_austrian . I guess I sit awhile longer.","Jacksonville, FL",Hispanic,31,mobile
negative,@USAirways you airline is doing rather poor right now. In SLC waiting to take off. Was suppose to take off now 2 hours and 3 minutes ago!,"Saint Paul, MN",Hispanic,15,tablet
negative,@USAirways three hours on hold then disconnected. Conf EBHSET. Need to be home Sunday for interview,"Newark, NJ",Caucasian,15,laptop
negative,@USAirways what's up with flight 5545 no gate agent or plane at PHX B18?  Nice customer service.,"Reno, NV",African American,51,tablet
negative,"@united Unfortunately had a bad experience flying with you on Saturday. Inpolite crew, bad delays.","Boston, MA",Caucasian,64,mobile
negative,"@USAirways US 728 stated their issues as: plane not moving as cargo door open on plane. Umm, ok. A little strange.","Greensboro, NC",Caucasian,42,tablet
negative,"@united thanks for trying to take my money without notice. In any other industry, you Cancelled Flight a service, a refund is issued. Cont…","Long Beach, CA",African American,61,mobile
negative,@united Can't leave the Tarmac ..united's gate agent cannot agree on a head count. 20 min now counting a 100 people max #epicfailunited,"Dallas, TX",Asian,64,tablet
negative,@USAirways flight is delayed 5 hours. No reason given. Sure love flying with your airline. #whatajoke,"Portland, OR",Asian,26,mobile
neutral,@united Our vacation's going to be ruined w/ 3 days of rain. : ( The change fee for 2 of us is nearly cost of original flight. Can you help?,"Dallas, TX",Caucasian,33,laptop
neutral,@SouthwestAir Any way you can help with entry to Vegas event? My Boyfriend &amp; I have been @Imaginedragons fans since 2009. They are awesome!,"Memphis, TN",Caucasian,43,mobile
negative,"@AmericanAir just when I thought you guys were done messing up, you make it worse. Your airline ruins hopes and dreams.","Garland, TX",Caucasian,34,laptop
negative,@AmericanAir boarded flight 2334 at 8:30am.  Now 11:40.  Still sitting on runway.  Lots o fun,"Mesa, AZ",African American,60,tablet
negative,@USAirways I waited on hold for too long. I shouldn't have to wait on hold forever when I never received a confirm. in the 1st place #help,"Miami, FL",Hispanic,19,tablet
negative,@united I interviewed yesterday as a flight attendant I was the last person the recruiter said they lost my file n came back to interview me,"Denver, CO",Caucasian,15,laptop
negative,@united Item (not mine) mysteriously ended up in my checked bag after a #EWR to #YOW flight.  Missing a black box? http://t.co/SJQEmDtQmA,"Chula Vista, CA",Hispanic,41,mobile
positive,@united thank you. Been trying for two days to set this up.,"Garland, TX",Native American,15,mobile
negative,@SouthwestAir your WiFi is shit. fix that up before I jump out of the closest bloody fucking emergency exit.,"Charlotte, NC",African American,30,mobile
neutral,@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx,"Mesa, AZ",African American,42,laptop
negative,@SouthwestAir I don't have a conference number.  I spoke with Courtney in Texas and David before that. they finally fixed mine after an hour,"Jersey City, NJ",African American,27,tablet
negative,"@AmericanAir Why doesn't anyone make a better effort to retain customers. It should be an easy fix, I just want to travel AA.","Los Angeles, CA",Caucasian,50,laptop
negative,@united the Premier desk was able to rebook me with our friends at @AmericanAir. Only problem is now I have to pay for a checked bag :/,"Chula Vista, CA",Caucasian,33,laptop
neutral,"“@JetBlue: Our fleet's on fleek. http://t.co/g97HAbyeP5”

SMH","Tulsa, OK",Caucasian,15,mobile
positive,@SouthwestAir you guys held our flight #330!  Thank you!!!  About to take off from MDW now to Oakland.  Thanks,"Colorado Springs, CO",Hispanic,49,laptop
negative,@united Flight 211/ORD gate agent tried to prevent me from taking onboard a bag I've used for 15 years! Flight crew was more reasonable!,"Arlington, TX",African American,55,tablet
positive,@USAirways thank you!,"Sacramento, CA",African American,56,mobile
positive,"@USAirways #success made flight , please thank the crew of 556 great time recovery","Louisville, KY",Native American,60,laptop
negative,"@SouthwestAir have you considered adding the ""we'll call you back when we have someone free"" feature to your support line?","Albuquerque, NM",Hispanic,28,laptop
neutral,@SouthwestAir #Vegas I was there 5 days ago. Miss the  Warm Weather,"Virginia Beach, VA",Hispanic,18,laptop
negative,"@united unsmiling rep. told us hotel shuttle comes ""like every 15 minutes."" Breezy 30 min. Late Flightr we're taking a cab. You going to reimburse?","Los Angeles, CA",Caucasian,33,mobile
neutral,@AmericanAir can I send you my trusted traveler ID to add to my reservation for tsa pre?,"Denver, CO",African American,39,mobile
neutral,@AmericanAir thank you...I know it's a busy for you today but any help would be appreciated...,"Portland, OR",Hispanic,61,mobile
negative,@JetBlue still waiting for bags from flight 26. It landed an hour ago.,"Albuquerque, NM",African American,24,tablet
negative,"@USAirways, 1st a reaccommodation, now a delayed flight for this one.  &amp; the Gate Agent still hasn't mumbled a word. Folks getting anxious.","Dallas, TX",Caucasian,24,laptop
positive,@USAirways Dude named Shaquille at the desk in Charlotte was incredibly professional and helpful vs. some crazy angry people tonight,"Durham, NC",African American,18,mobile
positive,@SouthwestAir Kudos for adding #Passbook to your app! I LOVE IT!,"Tucson, AZ",Caucasian,23,laptop
negative,@united be worse?oh you can't! delayed with no reason on the way to Lon;flight Cancelled Flighted with NO REASON less than 2 days before returning.,"Virginia Beach, VA",African American,34,laptop
negative,@USAirways I find it funny that @PHLAirport responds but you don't. Your customer service is the worst. #wedontcarebecauseyoupaidalready,"Charlotte, NC",Hispanic,43,tablet
negative,"@jetblue - WTF, stuck at JFK for 2+ hrs in a delay to Boston cuz u say snow.  No snow on weather map!!!  WTF!!!","Lincoln, NE",Caucasian,55,laptop
positive,@JetBlue thank you will do!! You guy are awesome!,"Sacramento, CA",Asian,42,tablet
negative,@AmericanAir there is a fat man stuck in your airplanes bathroom,"New Orleans, LA",African American,56,mobile
negative,"@USAirways sorry, I meant flight 4420, which was supposed to depart at 5:00, now says 6:30. What is the issue?","Indianapolis, IN",Asian,55,tablet
negative,@united I have received one previously on the 11th having checked. Odd as you said there was no complaint associated with my e-mail?,"Columbus, OH",Caucasian,26,tablet
positive,@JetBlue is definitely my new favorite airline.,"St. Petersburg, FL",Hispanic,54,mobile
negative,"@united @baldordash Rebooked,arrived 8 hours Late Flightr.  Last year 9 hrs to San Diego and the no inflight entertainment!","Dallas, TX",African American,51,tablet
positive,"@JetBlue Although it wasn't totally the answer I was looking for, I appreciate the prompt response.","Lexington, KY",Asian,36,laptop
neutral,"@SouthwestAir I can easily get to the Atlanta show, I just need tickets, help?!","Fresno, CA",Asian,36,mobile
neutral,@JetBlue whatever your lil #mint heart desires! http://t.co/WmX12F33ZC,"San Diego, CA",Hispanic,49,mobile
neutral,@AmericanAir message and pics sent...,"Tulsa, OK",Hispanic,25,tablet
neutral,@AmericanAir thanks!,"Long Beach, CA",African American,52,laptop
positive,"@united ""Airport snow removal method #22...""
Keep up the good work folks, this is where Cessna's become 747's! http://t.co/9v8tMUsJvU","Indianapolis, IN",Hispanic,23,mobile
negative,@USAirways you have the ability to switch my flight to @AmericanAir but you cannot tell me where my bags are.,"Lexington, KY",Caucasian,65,mobile
negative,@USAirways made it to the Bahamas for work but my luggage didn't. I know #travel happens but is there anyway I can get more help/info?,"Orlando, FL",Hispanic,26,mobile
negative,@USAirways I will NEVER fly us airways or american again and I will share this nightmare of a story to all the many others we know who fly,"St. Louis, MO",Hispanic,42,tablet
negative,"@united Delayed 7 hrs flight 5721 PIT/IAD, finally board the plane, sit half hour &amp; crew is at their hrs limit &amp; we deplane. Unacceptable.","Laredo, TX",Caucasian,26,tablet
negative,"@SouthwestAir Been on hold over 90 minutes. You can fly, but not answer the phone?","Jacksonville, FL",Asian,49,mobile
negative,@AmericanAir AA 2258 why have you Cancelled Flightled our flight without courtesy of notifying us or alternatives?  Very poor.,"Jersey City, NJ",Asian,30,tablet
negative,",@USAirways 2nd time this occurred in 3 weeks. I'm not patient. I have no choice.  #Antitrust issue","Norfolk, VA",African American,49,tablet
negative,@SouthwestAir been on hold to rebook a flight to CMH for 1.5 hrs. Your rebook website is crashed.,"Jersey City, NJ",Hispanic,36,laptop
neutral,@VirginAmerica YES FYI  MY BFF,"Kansas City, MO",Hispanic,60,laptop
negative,@JetBlue what's the delay if the system isn't down?,"Oakland, CA",Asian,60,tablet
negative,@VirginAmerica I'm trying to check into my 10:50AM CT flight tmm on the desktop website and it's not working (some sort of caching bug) SOS,"Denver, CO",Caucasian,30,mobile
positive,@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,"Atlanta, GA",African American,50,mobile
neutral,@united you'll be hearing from me for sure.,"St. Louis, MO",Asian,49,mobile
positive,"@JetBlue Annnndddd, I just booked my flight. That was easy.","Austin, TX",Hispanic,64,tablet
negative,@AmericanAir I’ve been on the line waiting for 40 minutes again.,"Nashville, TN",Hispanic,34,laptop
negative,@USAirways flt 1820 2rsw could have extended the courtsey of waiting 2min 4 10 of us.... gates closed in r faces.  Ur fired,"Chula Vista, CA",Hispanic,60,mobile
neutral,@USAirways last name Pordes,"Anchorage, AK",Caucasian,36,laptop
positive,"@AmericanAir thanks.  I actually made it, my connection flight was delayed.  Guess all delays are not a bad thing. http://t.co/XGgCNTco8m","Memphis, TN",Hispanic,26,mobile
negative,@AmericanAir I don't know who that may be. I was also working from home. Thanks for nothing.,"Miami, FL",Hispanic,35,mobile
neutral,"@USAirways If I know I left something on my last flight (as I literally had to run to make my connection), how can I retrieve it please?","Raleigh, NC",African American,64,tablet
negative,"@JetBlue no they offered the flight (4/19), I paid, then they changed it.This is the 2nd  time you have done this to me. ruins cruise plans","Tulsa, OK",African American,18,laptop
negative,@united so you are saying that customer care does not report to anyone? Their response is humiliating for a company that serves the public.,"Portland, OR",Asian,26,tablet
neutral,@united sitting in the middle for the first time .. Hope it works out well,"Laredo, TX",African American,22,laptop
neutral,@JetBlue Airways Corporation (NASDAQ:JBLU) Update: @JetBlue says #Lufthansa ... - Markets Bureau http://t.co/aPY3zLSqUu,"Columbus, OH",African American,20,laptop
negative,@malhoit at least you got a response from @AmericanAir via Twitter. I went 0 for 2 yesterday.,"Durham, NC",Caucasian,27,laptop
neutral,@AmericanAir Please help AA 2258 Monday Cancelled Flightled.  Can you advise on reFlight Booking Problems / refund.  Have children and need to make plans now,"Miami, FL",African American,49,mobile
negative,@USAirways so the seat next to me (19B) on flight 1943 to Seattle has a tray table that is falling off... http://t.co/HAJ5lKqjW4,"Wichita, KS",Asian,27,mobile
positive,"@united flight ua3576, gate b1. And tell ray I somehow made it on to the 736 flight out of IAH and didn't have to wait for the 917 one. :)","Orlando, FL",Hispanic,44,laptop
negative,@USAirways is the @comcast of airlines #2hrs35minOnHold,"Fresno, CA",Hispanic,20,mobile
negative,"“@AmericanAir:  ""Jason, you'll end up missing your connection. Please see our DFW agents for assistance.” Nope! Hasn't taken off yet, still!","Tucson, AZ",Caucasian,30,laptop
negative,@SouthwestAir now on hold for 2.5 hours waiting to speak to someone about my Cancelled Flightled flight from Philly to ORL,"Louisville, KY",Native American,49,tablet
negative,"@AmericanAir @PatrichRuben no, profit maximization is your top priority. Nothing else even registers for you dinosaurs","Chandler, AZ",Caucasian,43,laptop
positive,"@SouthwestAir Flying with you in about 2 weeks, bringing blankets bc it's freezing!😜","Nashville, TN",Caucasian,60,tablet
positive,@united great flight into PVD. Smallest plane I have ever been on and smoothest landing ever!,"Akron, OH",Hispanic,36,laptop
negative,@AmericanAir - thanks. She submitted a damaged bag complaint online...is there anything else we can do? #goodcustomerservice,"Kansas City, MO",Hispanic,18,mobile
negative,@AmericanAir But Eagle is always Late Flight,"Chula Vista, CA",Caucasian,48,laptop
neutral,"@AmericanAir looking for status of flight 1388 schedule for 5:15 am tomorrow morning, thank you","Sacramento, CA",Caucasian,39,tablet
negative,"Hypocrisy RT @united @gg8929 I'm sorry, we're not able to offer a full refund because the exchange rate is not what you were hoping for. ^KP","Lexington, KY",African American,59,mobile
negative,@United terrible illogical re-route after Cancelled Flightled connection. Then made me pay to check bag. Then lost bag. #ual,"Buffalo, NY",Caucasian,44,tablet
neutral,"@united After speaking to a United customer service rep the night before a flight, confirming that everything is ok with your reservation..","Oklahoma City, OK",Caucasian,15,tablet
positive,"@USAirways 
Good news, we got fixed.","Austin, TX",African American,56,laptop
neutral,@USAirways any word on whether or not flight 1971 from Seattle to Charlotte will have connections held? Or...,"San Jose, CA",African American,58,laptop
neutral,@southwestair. So important to accept others for who they are. #SWADiversity,"Cincinnati, OH",Hispanic,24,mobile
negative,@AmericanAir you changed my AAdvantage travel plans &amp; I called 800-433-7300 to get help but it sea ur too busy &amp; hangs up on me. What gives?,"San Antonio, TX",Caucasian,15,tablet
negative,@SouthwestAir everyones flights who were Cancelled Flightled today DESERVE 1,"Raleigh, NC",African American,18,mobile
negative,@USAirways your airway is a joke. I have never dealt with worse service,"Newark, NJ",African American,36,mobile
neutral,JetBlue reading the NYTimes. “@JetBlue: Our fleet's on fleek. http://t.co/lvIrTDtqly”,"Oklahoma City, OK",African American,64,laptop
negative,@SouthwestAir  this is really unhelpful. Why can't I rebook online? http://t.co/N5O43sVl8i,"Charlotte, NC",African American,49,tablet
negative,@JetBlue Flight is 100% full.,"Chandler, AZ",Caucasian,64,laptop
negative,@USAirways 1-2! Rock hit the plane! In a delay now! Never an easy day with US Airways! Ya never fail to let me down!,"Jersey City, NJ",Hispanic,49,mobile
positive,@JetBlue thank you! I'm excited to fly with you for the first time.,"Madison, WI",Caucasian,33,laptop
negative,"@united gates were DEFINITELY NOT FULL. We were parked and wheels were chocked. Customer service called it an ""UNMET ARRIVAL""!!","Oklahoma City, OK",Hispanic,55,mobile
negative,@SouthwestAir can you provide direct assistance? My colleague and I cannot re-book b/c the ticket was booked via a corporate account. #help,"Portland, OR",Caucasian,52,tablet
neutral,"Aww, is it? @JetBlue I guess now I need to book a flight to somewhere warm ASAP! Any suggestions?","Austin, TX",Caucasian,64,laptop
